S,E,I,R,H,C,D
2769113.0000000005,462.0,2520.0000000000005,6193.000000000002,1845.0,26.000000000000004,129.00000000000003
2768986.2731547635,524.4217127494315,2265.193729269201,6811.065682933321,1541.065830743757,29.168257383846132,130.8116321466252
2768880.83409508,558.9532584435563,2055.869475833049,7326.141250859384,1302.6891106670366,30.73601885760766,132.77679023841455
2768790.28252567,576.2092052981948,1881.1552749585953,7759.632424400342,1114.7305210946893,31.183273822605134,134.80677472492715
2768711.2091993047,582.1779679941302,1733.3370844889762,8128.0168402556465,965.5561710160151,30.862682973409445,136.84005392739456
2768641.639812669,580.4841421569578,1606.7359231999546,8444.010848920007,846.2627047146912,30.031573047706715,138.83499524233818
2768580.326027042,573.4626251029292,1497.0637762317217,8717.459698759361,750.0472204512395,28.876217693601756,140.76443466002917
2768526.4034448634,562.7006336149765,1401.0273287902685,8956.014827736135,671.7119802396603,27.53014771249997,142.61163697462572
2768479.2226393893,549.3231135808188,1316.0682714168202,9165.648722566913,607.2820490541476,26.087901347314514,144.36730256678968
2768438.263269667,534.1509932799602,1240.183660873757,9351.046407811746,553.7129902275169,24.61531907468306,146.02735897831698
2768438.263269667,534.1509932799602,1240.183660873757,9351.046407811746,553.7129902275169,24.61531907468306,146.02735897831698
2768386.2146064295,532.858346133826,1173.5068905856383,9512.29854025752,510.7244085152214,24.629608767194796,147.7675992135806
2768345.4902672917,522.6066591806267,1114.9511749325954,9656.945764399694,474.1409758325396,24.366348390254664,149.49880986510055
2768312.595164754,508.17038027537626,1062.098825943382,9787.270287170897,442.7538646033577,23.90715894389767,151.20431819118173
2768285.7373838704,491.88617957969393,1013.5624727068232,9905.09533203247,415.53245469815715,23.313673523411037,152.87250346139973
2768263.9420138174,474.9154945983181,968.4905382355106,10011.88236499867,391.6421971465342,22.6318543037797,154.4955367623781
2768246.636049563,457.8423032641708,926.3213978156443,10108.811444668503,370.4247653010862,21.895635678742167,156.06840356157082
2768233.446023098,440.9648933872756,886.6585845667863,10196.844927933382,351.36757316930556,21.129839333610576,157.58815835480792
2768224.0994174834,424.43842709566127,849.2057892942961,10276.776877566908,334.07368583855373,20.35244026817732,159.053362286838
2768218.376745608,408.3447414118234,813.7316548648288,10349.270940930837,318.2359559220532,19.576299274289067,160.46366181264972
2768218.376745608,408.3447414118234,813.7316548648288,10349.270940930837,318.2359559220532,19.576299274289067,160.46366181264972
2768208.037051415,399.88190245111144,780.9034527706912,10415.638553303852,303.77647872742335,17.916858925198984,161.84570222081967
2768205.5221897704,386.46152053973765,750.4139576867533,10475.680718128262,290.3606010706914,16.448565879497224,163.11244672880042
2768208.2833975237,371.28577458739215,721.2963083379893,10529.839610198977,277.87091739608996,15.14690731444288,164.2770844362669
2768215.0626338515,355.7849261325385,693.1653643749191,10578.482816964128,266.16267264866104,13.990473105915406,165.35111270710885
2768225.1968959398,340.58174302314467,665.8878631053304,10621.919993739968,255.10846726937274,12.960489219864922,166.3445474784119
2768238.3054825184,325.9275494994929,639.4330538174827,10660.418246843508,244.60903743471974,12.040523237091588,167.26610641532451
2768254.142894519,311.9056318699063,613.8061846799593,10694.214260951934,234.5914073217111,11.216247589085013,168.12337282413355
2768272.529442564,298.5257309534354,589.0201692067529,10723.523117554312,225.00337518295353,10.47522138575877,168.92294289938087
2768293.3185769557,285.76739946799313,565.0845636617672,10748.544386637392,215.8078343603547,9.806681418198792,169.67055723518814
2768293.3185769557,285.76739946799313,565.0845636617672,10748.544386637392,215.8078343603547,9.806681418198792,169.67055723518817
2768302.813017661,285.7511551599662,543.3436156062338,10767.09848474267,207.2450874807406,11.263838880059073,170.48480019601718
2768317.5813591955,281.12653847614035,524.1394555164773,10782.06560950802,199.2989117367624,12.389353150199053,171.39877213323945
2768335.767680348,274.4273404366369,506.46940709399934,10793.748103158281,191.95708696065975,13.241288524202941,172.38909318453182
2768356.451188852,266.8612360909843,489.83402934316615,10802.401231377053,185.14742628825735,13.868373028785552,173.4365147162058
2768379.1531924093,259.00725787169694,473.9775788213825,10808.238205375466,178.7875763446119,14.310958476920586,174.52523038806504
2768403.609552076,251.14120864248596,458.7632526790334,10811.437850909837,172.80357833069303,14.602281113393778,175.64227592624542
2768429.6607434205,243.3927282627424,444.1128134025081,10812.152045612227,167.13495843114737,14.769684439994325,176.77702609958484
2768457.198639393,235.82114684248316,429.9773321816967,10810.511969900344,161.73444383222318,14.835686823213766,177.92078068616567
2768486.140818135,228.452013999479,416.32296158002,10806.633023636548,156.56588521519404,14.818870870289704,179.06642621303632
