S,E,I,R,H,C,D
2726355.0000000005,328.00000000000006,343.0000000000001,47749.000000000015,10.0,3.0,5500.999999999999
2726560.0623798533,365.0512740797887,364.84528710003764,47485.14307479619,9.958034438940004,2.936713186580628,5501.00323653581
2726761.6531254877,396.4629937714299,390.4505631144324,47226.46008430031,10.082297184558154,2.884526655725169,5501.006409466587
2726956.8571103653,425.9740569576658,418.56302744851183,46973.40066964238,10.347878438982079,2.8477238038926624,5501.009533314064
2727143.9199095448,455.56063000081406,448.66411057994503,46726.28194986983,10.731766004203369,2.8290075574868663,5501.012626404802
2727321.660603418,486.3025317220447,480.6080283719678,46485.36754934838,11.215701176423696,2.82987657525248,5501.015709340449
2727489.188567276,518.8110715660167,514.4356545305374,46250.90840280967,11.78650025224154,2.8509996215709665,5501.018803886807
2727645.751258267,553.4566014509728,550.2787303894131,46023.163537491426,12.435415409099745,2.892524686038518,5501.021932239253
2727790.650074702,590.4908768590382,588.3119158259822,45802.41045681631,13.157248061732842,2.9543110742917187,5501.025116584327
2727923.1932860473,630.1124229036418,628.730026247854,45588.95027982212,13.949512972383308,3.0360930440090277,5501.028378876988
2727923.1932860473,630.1124229036417,628.730026247854,45588.95027982211,13.949512972383312,3.0360930440090277,5501.028378876988
2728022.69100936,690.2930927808568,673.8121666024266,45381.66902959786,16.423285278928052,3.0718291123769315,5501.039587171507
2728118.1210575537,741.2391826272676,723.6299989771995,45183.13645791925,18.644901441644397,3.1773439545423345,5501.051057421231
2728204.3125660014,789.425876141546,776.3753848069571,44993.758724429754,20.728336124938345,3.3360975586952986,5501.063014821286
2728278.248419848,838.1462457909256,831.4452113501784,44813.80467558862,22.742921045037132,3.5368922721038887,5501.0756339797035
2728337.9659361267,889.1105405217622,888.8102379313343,44643.517749881874,24.73446463644211,3.7720158224602724,5501.089054944686
2728382.032364776,943.2236547870926,948.7009869056103,44483.16744650162,26.735997171459037,4.036155790388095,5501.103393923931
2728409.267416657,1000.990556236231,1011.4534213587932,44333.070855918864,28.773270679063128,4.325728171737221,5501.118750824863
2728418.5929407603,1062.7290110132415,1077.4369216755385,44193.59985312203,30.867622513545527,4.638435978122633,5501.135214774213
2728408.950974664,1128.6796803336347,1147.0240270609097,44065.18195990498,33.0375272177902,4.972962371277474,5501.152868274163
2728408.950974664,1128.6796803336347,1147.0240270609097,44065.18195990497,33.0375272177902,4.9729623712774735,5501.152868274164
2728294.5775788026,1275.1095299844346,1228.810105288314,43950.55513945344,33.378869636363724,5.394704039449162,5501.1740726123635
2728169.8403339754,1401.782254537168,1326.3625943846907,43849.67507484002,34.36583579924466,5.776992293820322,5501.196913976435
2728023.2150283856,1522.944627888031,1435.0559175672674,43764.505290880275,35.91096295021133,6.146884944540492,5501.221287181499
2727847.5587742873,1646.1679879777503,1553.043208495508,43696.52689899734,37.93159888988076,6.524347886791361,5501.247183253053
2727637.809399206,1775.696230990818,1679.8972559238814,43647.035726709735,40.36296480916591,6.923758837288413,5501.274663301035
2727389.910909481,1914.0544305277438,1815.9172692745717,43617.29787822278,43.160248121902804,7.3554254227765155,5501.3038387185325
2727100.2431968437,2062.894336101642,1961.772842214773,43608.63144609545,46.296458162820116,7.826863182618379,5501.3348571583165
2726765.305311363,2223.4485728942136,2118.325547395576,43622.449799211405,49.75909469967889,8.343781027435147,5501.3678931584145
2726381.5347353644,2396.7747558478577,2286.544230912843,43660.285410538636,53.54692261740833,8.91080219876886,5501.403142259957
