S,E,I,R,H,C,D
2740436.0000000005,1439.0000000000002,1835.0000000000002,31538.0,117.0,38.00000000000001,4886.0
2739698.448815534,2012.151290426184,1926.5035240121179,31601.27624862279,127.18489956250676,34.565976320022536,4888.86924551308
2738907.5240546106,2522.1869193133793,2113.7305185495748,31684.85681055108,137.3798535924145,31.827590785829546,4891.494252577618
2738029.887763106,3011.487147351104,2375.051613603501,31799.490939179763,149.45601820473541,29.700056112194968,4893.926462413936
2737039.871168731,3507.401476926655,2698.7538927559785,31954.230621177037,164.39405236034537,28.136566181201996,4896.212221829344
2735914.428358167,4029.6549629573306,3079.459777430066,32157.238804537665,182.7124897775052,27.110573517516613,4898.395033563618
2734630.9798099273,4593.759291383595,3516.0725734860166,32416.350800662698,204.71400495819447,26.60674901702017,4900.516770506438
2733166.1915295813,5212.929332102201,4010.5304784959435,32739.48747309533,230.62605330361677,26.616755146764277,4902.6183782069165
2731495.145423427,5899.278513036846,4567.043406058544,33134.97483866319,260.679850824564,27.137614587878993,4904.740353323455
2729590.701677445,6664.610472848212,5191.634991030334,33611.80451568374,295.15377749029153,28.171415103675677,4906.923150311667
2729590.701677445,6664.610472848212,5191.634991030334,33611.80451568374,295.15377749029153,28.171415103675677,4906.923150311668
2727473.104200101,7472.177444224919,5890.555318824605,34196.86006275511,320.4864150853961,26.767417540773668,4909.049141371145
2725263.1855865316,8209.606614981589,6645.816369290164,34880.809744395374,352.6615505358813,25.835952526000142,4911.084181632925
2722906.881982441,8939.628092923987,7442.217344603458,35671.16443311465,390.6793454610763,25.364359151811122,4913.0644421882
2720366.116507166,9698.502832584109,8276.421162753233,36573.94266539361,433.65887905768153,25.333111631415846,4915.024841288642
2717610.759852262,10508.340215125603,9151.33026476838,37594.88012823535,480.9722563678791,25.71866907132899,4916.998614033886
2714614.6914574495,11383.385704009215,10073.039665893384,38740.10946239337,532.2600828174643,26.496509855807577,4919.0171174355355
2711353.5052444427,12333.615044198723,11049.19112079796,40016.53624663983,587.3988924949598,27.643599569322678,4921.109851701178
2707803.115693083,13366.821875935379,12088.120885892067,41432.042073389035,646.454713600674,29.140113158877753,4923.304644776228
2703938.9025568445,14489.815905911695,13198.452466371118,42995.59237077333,709.6382793964218,30.970476612387024,4925.62794391596
2703938.902556845,14489.815905911693,13198.452466371118,42995.59237077333,709.6382793964218,30.970476612387024,4925.627943915961
2701289.552819354,14299.147151971798,14251.020116980688,44714.047537112994,775.8567919426325,31.440515441996233,4927.935067012229
2698765.8538327594,14044.829005525644,15108.522092404224,46565.54251535297,841.66560333223,32.29574777804928,4930.2912026534
2696302.061910039,13798.524211869568,15793.870050751137,48524.71503512637,903.6432404701607,33.4632152571723,4932.722336282728
2693867.294487886,13586.696386469092,16336.096307838448,50568.94391542465,959.8575162137158,34.86267103697428,4935.248714917281
