S,E,I,R,H,C,D
2740436.0000000005,1439.0000000000002,1835.0000000000002,31538.0,117.0,38.00000000000001,4886.0
2740173.493182495,1584.670213669234,1881.1754904050463,31599.393241357284,126.83426849880844,34.564380911259256,4888.869222654144
2739834.5506347297,1771.0119138549242,1954.6165327263282,31670.563771139397,134.95930066602864,31.804331123615704,4891.493515739567
2739419.7038694466,1989.781518872478,2058.7022028977813,31754.74925861305,142.542958162307,29.59879522107304,4893.921396756283
2738923.504978876,2239.6912435944837,2195.467255592954,31855.81050978625,150.46920912168665,27.863509222151723,4896.193293766044
2738337.345939028,2522.552922128003,2366.749250211804,31978.060472363923,159.40644760786995,26.540918991829795,4898.344049618135
2737650.478438111,2841.770777702497,2574.6683691692297,32126.21257096111,169.87225908569036,25.592847461367757,4900.404737449304
2736850.348634552,3201.736653143521,2821.839640025825,32305.389369142777,182.28637946392175,24.995340111791187,4902.403983491023
2735922.6468481272,3607.5972960014747,3111.4754714655546,32521.164788063055,197.0115106561012,24.73513777789324,4904.368947829484
2734851.219400363,4065.1903830825054,3447.445775404121,32779.627038028455,214.38400111043617,24.807328018873417,4906.326073903623
2734851.219400363,4065.1903830825054,3447.4457754041214,32779.627038028455,214.38400111043623,24.807328018873417,4906.326073903624
2733825.9246198437,4391.7580733122295,3816.4710668554726,33098.074162669756,225.48485125238423,23.106242507879077,4908.180983458922
2732725.1975869443,4724.833833919377,4199.737034490715,33466.92472793916,240.60906301832546,21.779427651180182,4909.918325927202
2731525.7459733672,5084.33853030679,4598.744125321192,33888.88021890305,258.9212304029842,20.803676260718508,4911.566245318316
2730209.685768347,5481.476359463088,5017.852683065842,34366.79798514159,279.88324014117114,20.153001514657866,4913.1509621972145
2728762.1950696786,5922.5453484275085,5462.530071827233,34904.025491048975,303.2057829725843,19.801561628289754,4914.696674277622
2727169.895619301,6411.351275561586,5938.464684178964,35504.547944678685,328.7891889917,19.72563938283863,4916.225647757009
2725419.781188647,6950.658531533537,6451.189965480448,36173.03750081788,356.66958021010885,19.90480309714902,4917.758430055831
2723498.5385344666,7543.005312087547,7005.986007003885,36914.85738995805,386.97617654017665,20.322451764577508,4919.314128011483
2721392.1257178425,8191.128961117547,7607.917183344594,37736.05108790215,419.90039459025604,20.965943552404674,4920.9107114732
2721392.1257178425,8191.128961117547,7607.917183344594,37736.05108790215,419.90039459025604,20.965943552404674,4920.9107114732
2719976.454523095,8090.0013184202335,8182.87752190621,38641.50186391743,454.87299431004334,20.835314324767147,4922.456463839174
2718627.571630627,7955.000724978776,8651.965883439781,39619.55087655919,489.942865003362,20.96585339047132,4924.0021658041305
2717308.7158934264,7825.848088491809,9027.857500267228,40656.5330867346,523.1677997244308,21.31206613786968,4925.565565010171
2716002.706583519,7716.987935708386,9326.59360458641,41740.28302326964,553.4430786591233,21.824902586539423,4927.160871454173
2714701.8718756866,7631.5030050967225,9563.57935970071,42860.50716040427,580.2825941909755,22.457296206577418,4928.798708488396
2713403.171286476,7567.69554662747,9752.117525410726,44008.74834608084,603.6135169014789,23.167390257670455,4930.486388011144
2712105.732408445,7522.227858791161,9903.093715112276,45178.18350940888,623.6141354262661,23.920014530197204,4932.2283580410785
2710809.62875109,7491.54039774895,10025.147764776246,46363.37200394925,640.5973803826424,24.68698756836212,4934.026714230494
2709515.2924194057,7472.4251204795155,10125.01245711361,47560.00877313604,654.9328124604203,25.446711236896157,4935.881705904216
2709515.2924194057,7472.4251204795155,10125.01245711361,47560.00877313604,654.9328124604203,25.446711236896153,4935.881705904217
2708739.382435733,6994.975685780614,10161.29839341841,48796.69654304354,631.9498814803017,26.932562566065332,4937.764497703969
2708066.5858477326,6526.221830822825,10096.139011644174,50016.940753033996,615.3360494236624,28.036458185485685,4939.740048872475
2707466.8922235174,6091.014953627448,9948.55482398828,51210.10938221789,601.7908550448906,28.853276287521417,4941.784485021451
2706925.875082244,5695.430619521448,9737.745972270774,52367.358206078155,589.2687039897844,29.442016991775848,4943.879398599622
2706436.2126303227,5337.991037230884,9480.556209717131,53481.79257362129,576.597893180971,29.839861396628823,4946.009794216675
2705993.793802618,5014.6197528417915,9190.842886707103,54548.32299401321,563.186348595105,30.07134997802696,4948.1628649236945
2705595.903979886,4720.773835205763,8879.618020081616,55563.413816564964,548.8089334749593,30.154114124184556,4950.327300330419
2705240.4074257286,4452.270041567396,8555.452146033362,56524.81471345962,533.4604689631493,30.102283987595882,4952.492919918874
2704925.3969221567,4205.532161322577,8224.921979411103,57431.31229594339,517.2577556880477,29.928390392563653,4954.650494734833
2704925.3969221567,4205.532161322577,8224.921979411103,57431.31229594339,517.2577556880477,29.928390392563646,4954.650494734833
2704884.8250704156,3764.7012365314504,7871.182978827485,58275.91318071225,507.04046573782625,28.75951013148763,4956.57755728309
