S,E,I,R,H,C,D
2740436.0000000005,1439.0000000000002,1835.0000000000002,31538.0,117.0,38.00000000000001,4886.0
2739903.2735418603,1827.6192700468607,1907.159096714274,31600.477443845528,127.036109915215,34.565301736760915,4888.869235871145
2739317.953167753,2188.325274087469,2044.3785866959042,31678.69611321969,136.33529860796367,31.817621361010662,4891.493938254792
2738657.2639854546,2547.159568323692,2234.6398987946277,31779.929799889538,146.42637514020856,29.656094163007218,4893.924278203819
2737901.71845788,2922.1813443778824,2472.006175567298,31910.666096242407,158.20733290911895,28.01661446432472,4896.203978518938
2737033.1537431944,3326.7778510980083,2754.517050953352,32077.08655341707,172.23452014595267,26.8576559965707,4898.372625144357
2736033.5292180483,3771.655859716603,3082.8988813098385,32285.404035024185,188.89256002124856,26.152327704845934,4900.467118114564
2734884.069587046,4266.136224300595,3459.783445515353,32542.11069278747,208.4933786613373,25.884026573997506,4902.522645046145
2733564.615732119,4819.010343740823,3889.251197344564,32854.17156417578,231.33362494668722,26.04414064355509,4904.573396951482
2732053.105047682,5439.114130748711,4376.5815408463895,33229.1870962732,257.72812512069004,26.630908212626174,4906.653151028962
2732053.105047682,5439.114130748711,4376.5815408463895,33229.1870962732,257.72812512069004,26.630908212626174,4906.653151028962
2730539.6219497304,5939.576431232385,4910.615346072965,33689.20384466389,276.24195028847583,25.085653670611833,4908.654824243826
2728942.0671988456,6421.564015119447,5467.790594398985,34223.08312268889,299.97759975384076,23.964621139706672,4910.552847946169
2727219.4220429882,6925.842892487509,6045.65534455532,34834.566176408116,327.8870710838853,23.247126802315655,4912.3793455573605
2725343.4924795902,7473.793222198386,6648.177439682855,35527.221150640755,359.24363918878703,22.90744488112934,4914.16462369083
2723292.5959923626,8076.830805379956,7281.9745594229635,36305.11029965385,393.6329047186666,22.918513186900785,4915.93692513838
2721048.079870875,8741.47217756411,7954.485391244051,37173.090547700274,430.8948400201006,23.254735327322045,4917.722437122766
2718592.293457411,9472.110022834484,8673.17108939036,38136.927819423436,471.05835011421067,23.893782212735488,4919.5454784580725
2715907.422035565,10272.475630887826,9445.246009689019,39203.325031638466,514.284936280045,24.817562184238636,4921.428793589774
2712974.823467378,11146.3660789217,10277.66079921593,40379.91710851173,560.8260542162201,26.012593724434076,4923.393897856825
2712974.823467378,11146.3660789217,10277.660799215928,40379.91710851172,560.8260542162201,26.012593724434073,4923.393897856826
2710967.789777904,11015.578435258873,11071.437142701194,41672.81794760442,609.9110080539255,26.143430106475638,4925.322258186566
2709056.7336517787,10833.156000519284,11720.324841512343,43065.98231899288,658.9379590661805,26.59316809610008,4927.27205984037
2707190.690198149,10655.08715727328,12240.774962976364,44540.58761647346,705.2910084294754,27.304149184147395,4929.264907310036
2705345.6263042926,10502.326356078818,12654.25461634245,46079.785748089926,747.4757310475495,28.213356531598315,4931.317887402992
2703510.6499937656,10379.930120863308,12981.632198330895,47669.25116771537,784.833105878194,29.259949798837592,4933.443463424443
2701681.3181051416,10286.147611387498,13241.070474797198,49297.15841983414,817.2658639447021,30.389711881587388,4935.649812780246
2699856.2445212295,10216.789184616522,13447.52539715582,50953.92215905753,845.0202003046514,31.557133227886933,4937.941404164916
2698035.4069036916,10167.22392807965,13612.933003623992,52631.862749683314,868.5278511658424,32.72589618975113,4940.319667313763
2696219.3248394215,10133.207629456421,13746.642171646561,54324.87366341275,888.2996493270604,33.86838609776128,4942.783660376407
2696219.3248394215,10133.207629456421,13746.642171646563,54324.87366341275,888.2996493270604,33.86838609776129,4942.783660376407
2695026.6458422327,9551.049718700371,13800.78975588009,56071.914614926354,857.3248120862803,35.98084269133777,4945.294413211056
2693995.336286571,8949.039700251456,13726.425226323778,57797.59591297544,835.1026292160687,37.562738771384105,4947.937505610245
2693077.6385076516,8373.39241237793,13543.035224769006,59488.29678700726,817.2114189834144,38.745882473736266,4950.679766447518
